"","X","LID","Metricas","value"
"119",8,"Saavedra","PARA_MN.z",-0.662240824212032
"120",8,"Saavedra","PAFRAC.z",2.67076145881979
"121",8,"Saavedra","ENN_MN.z",-0.0455524077485287
"122",8,"Saavedra","IJI.z",-2.82450131014334
"123",8,"Saavedra","COHESION.z",-3.10710021320103
"124",8,"Saavedra","AI.z",-3.0359668425622
"125",8,"Saavedra","DIVISION.z",0.429230703572181
"126",8,"Saavedra","NP.z",-0.598057878252531
"127",8,"Saavedra","PD.z",1.10606394029822
"128",8,"Saavedra","LSI.z",-0.182813925947305
"129",9,"Renaico","PLAND.z",1.13303505816438
"130",9,"Renaico","LPI.z",0.858789146655608
"131",9,"Renaico","ED.z",0.131974064109254
"132",9,"Renaico","AREA_MN.z",1.3639002172208
"133",9,"Renaico","GYRATE_MN.z",0.778122374822041
"134",9,"Renaico","SHAPE_MN.z",-1.39295371030454
"135",9,"Renaico","PARA_MN.z",1.61236978534972
"136",9,"Renaico","PAFRAC.z",-2.18327471826096
"137",9,"Renaico","ENN_MN.z",-0.4870973811542
"138",9,"Renaico","IJI.z",2.50754956773404
"139",9,"Renaico","COHESION.z",0.783987831852638
"140",9,"Renaico","AI.z",1.4097456417857
"141",9,"Renaico","DIVISION.z",-0.561330117462138
"142",9,"Renaico","NP.z",-1.42992812386838
"143",9,"Renaico","PD.z",-0.20135145146312
"144",9,"Renaico","LSI.z",-1.28636655746345
"145",10,"Puren","PLAND.z",1.04991735377991
"146",10,"Puren","LPI.z",0.180286818913587
"147",10,"Puren","ED.z",1.74649936901135
"148",10,"Puren","AREA_MN.z",-0.229177981877565
"149",10,"Puren","GYRATE_MN.z",-0.581972286666068
"150",10,"Puren","SHAPE_MN.z",-0.000248306643101323
"151",10,"Puren","PARA_MN.z",0.680141805363233
"152",10,"Puren","PAFRAC.z",0.46139146510667
"153",10,"Puren","ENN_MN.z",-0.815605320110575
"154",10,"Puren","IJI.z",0.768469508132591
"155",10,"Puren","COHESION.z",0.559385604308631
"156",10,"Puren","AI.z",0.0374629221299244
"157",10,"Puren","DIVISION.z",0.0266498351304251
"158",10,"Puren","NP.z",0.272806285126565
"159",10,"Puren","PD.z",2.34025938404425
"160",10,"Puren","LSI.z",0.29621047253412
"161",11,"Pucon","PLAND.z",-1.25802202777754
"162",11,"Pucon","LPI.z",-0.728531536972662
"163",11,"Pucon","ED.z",-1.45052160450061
"164",11,"Pucon","AREA_MN.z",-0.854780728797783
"165",11,"Pucon","GYRATE_MN.z",-0.423932663336451
"166",11,"Pucon","SHAPE_MN.z",-0.405981361471157
"167",11,"Pucon","PARA_MN.z",-0.392922849677655
"168",11,"Pucon","PAFRAC.z",-0.825150606538886
"169",11,"Pucon","ENN_MN.z",0.841532595152941
"170",11,"Pucon","IJI.z",0.902846797082282
"171",11,"Pucon","COHESION.z",-1.65507592155831
"172",11,"Pucon","AI.z",-0.798338182885037
"173",11,"Pucon","DIVISION.z",0.430996409135522
"174",11,"Pucon","NP.z",-1.21546157617055
"175",11,"Pucon","PD.z",-1.44140449105038
"176",11,"Pucon","LSI.z",-1.11820720016715
"177",12,"Pitrufquen","PLAND.z",-0.447830265075714
"178",12,"Pitrufquen","LPI.z",-0.197257643825479
"179",12,"Pitrufquen","ED.z",-0.144543137586687
"180",12,"Pitrufquen","AREA_MN.z",-0.612572202993664
"181",12,"Pitrufquen","GYRATE_MN.z",-0.0782458845458397
"182",12,"Pitrufquen","SHAPE_MN.z",0.375455163534852
"183",12,"Pitrufquen","PARA_MN.z",-0.682929061454007
"184",12,"Pitrufquen","PAFRAC.z",0.867667908784212
"185",12,"Pitrufquen","ENN_MN.z",-0.073120518146667
"186",12,"Pitrufquen","IJI.z",0.253678152175747
"187",12,"Pitrufquen","COHESION.z",0.0555626675566361
"188",12,"Pitrufquen","AI.z",-0.441937633036179
"189",12,"Pitrufquen","DIVISION.z",0.349773953221834
"190",12,"Pitrufquen","NP.z",-0.279607549852712
"191",12,"Pitrufquen","PD.z",0.631012917574902
"192",12,"Pitrufquen","LSI.z",-0.226700325533651
"193",13,"Perquenco","PLAND.z",-0.779435894735936
"194",13,"Perquenco","LPI.z",-0.328164059520134
"195",13,"Perquenco","ED.z",-0.674110440872193
