"","LID","PLAND.z","LPI.z","ED.z","AREA_MN.z","GYRATE_MN.z","SHAPE_MN.z","PARA_MN.z","PAFRAC.z","ENN_MN.z","IJI.z","COHESION.z","AI.z","DIVISION.z","NP.z","PD.z","LSI.z"
"1","villarrica",-0.882124745594279,-0.622038620261295,-0.844658269827731,-0.746761320511044,-0.535221993430627,-0.165744684270334,-0.430974198746233,-0.149957850141445,0.147627394397442,0.339410455292361,-0.574886286292993,-0.468926054630429,0.422167881318818,0.558761682057015,-0.233568228589855,-0.00245375504866766
"2","vilcun",-0.742220882370829,-0.621465002983653,-0.85005777958672,-0.429342433731848,0.277808913678412,-0.359935998341,-1.22118696008794,-0.505933400792245,0.549028139127123,0.286664048489106,-0.167890503570872,0.321370891647809,0.420402175755475,0.24681033995107,-0.576237585301497,-0.216713192483121
"3","victoria",-0.100227609898281,-0.377512527739113,-0.484288918058014,0.291915046920667,1.72914860600776,-0.548121395481645,-1.14366943683864,-1.4384345715188,0.0202729869948072,-1.02798196489806,0.354240732083934,1.04878006798653,0.370962419981928,0.175321490718457,-0.456156870556392,-0.288654157478417
"4","tolten",0.968052680114801,0.28855273448312,0.80551498190036,1.06604020475986,1.0752797168555,0.682424251069237,-0.169900301307588,0.103481264724072,-0.695918050230643,1.3291521772144,0.879742533227125,0.754609924628338,-0.0386812707131918,1.67008833830944,-0.107629918003525,1.45953247894887
"5","Temuco",0.0528271090655395,0.788755691758016,-0.317535123326619,-0.0750784509620842,-0.982858271724881,-1.34690834717438,-0.740482944128071,0.341443181735205,0.0566404015141246,-0.0701692719471807,0.754878402634785,1.0396134998943,-0.139326487823631,-0.806025439656494,0.243825832469953,-1.0257074989581
"6","Schmidt",-0.653219900418299,-0.631303408412305,-0.377712499841747,-0.637533377874123,-0.0739554839806211,0.585662256085573,-1.36480316504382,1.70924054211627,0.0890952589047549,0.308421941295449,-0.567072702660826,-0.659780575945132,0.418636470192134,-0.416086262024063,0.135460309407298,-0.225458326544192
"7","Sauces",1.95205173721829,3.38916270824032,0.723531892897005,1.69829179081731,-0.411540565342555,-0.819722305539241,0.628986139896695,-0.62588168416371,-0.709351923667858,0.68496729206832,1.03884854503096,1.46956571563061,-3.61423503647878,0.019345819665485,0.112615685626521,-0.222915881554006
"8","Saavedra",-0.921881620275809,-0.728601066339649,-0.325434701953306,-1.002489849305,-0.824856330708886,1.46586274838525,-0.662240824212032,2.67076145881979,-0.0455524077485287,-2.82450131014334,-3.10710021320103,-3.0359668425622,0.429230703572181,-0.598057878252531,1.10606394029822,-0.182813925947305
"9","Renaico",1.13303505816438,0.858789146655608,0.131974064109254,1.3639002172208,0.778122374822041,-1.39295371030454,1.61236978534972,-2.18327471826096,-0.4870973811542,2.50754956773404,0.783987831852638,1.4097456417857,-0.561330117462138,-1.42992812386838,-0.20135145146312,-1.28636655746345
"10","Puren",1.04991735377991,0.180286818913587,1.74649936901135,-0.229177981877565,-0.581972286666068,-0.000248306643101323,0.680141805363233,0.46139146510667,-0.815605320110575,0.768469508132591,0.559385604308631,0.0374629221299244,0.0266498351304251,0.272806285126565,2.34025938404425,0.29621047253412
