LID ; TYPE ; CA ; PLAND ; LPI ; TE ; ED ; AREA_MN ; AREA_AM ; AREA_MD ; GYRATE_MN ; GYRATE_AM ; GYRATE_MD ; SHAPE_MN ; SHAPE_AM ; SHAPE_MD ; FRAC_MN ; FRAC_AM ; FRAC_MD ; PARA_MN ; PARA_AM ; PARA_MD ; CIRCLE_MN ; CIRCLE_AM ; CIRCLE_MD ; CONTIG_MN ; CONTIG_AM ; CONTIG_MD ; PAFRAC ; ENN_MN ; ENN_AM ; ENN_MD ; CLUMPY ; PLADJ ; IJI ; COHESION ; AI ; NLSI; DIVISION ; MESH ; SPLIT ; NP ; PD ; LSI 
padre_2013.tif ; Plantacion ;3718.17;9.2497;3.4997;382260;9.5095;39.1386;877.4348;4.05;169.6697;1247.6941;92.9537;1.8134;4.6077;1.5263;1.0918;1.1873;1.0872;461.0011;103.7607;340.7407;0.5846;0.6405;0.6258;0.6244;0.9118;0.7161;1.3665;353.5539;181.8501;90;0.9193;92.2179;57.6806;98.4671;92.6744;0.0733;0.998;81.16;495.2906;95;0.2363;15.7985
meli_2013.tif ; Plantacion ;4783.68;4.3151;1.1162;454950;4.1039;67.3758;528.7843;9.72;345.0791;2033.7762;175.5982;1.9819;4.1145;1.6842;1.1005;1.1712;1.099;258.2019;96.1519;219.8582;0.6678;0.7988;0.6762;0.7818;0.9177;0.8191;1.3892;320.2811;156.0048;192.0937;0.9289;92.7886;57.741;98.3435;93.1936;0.0681;0.9998;22.8177;4858.4442;71;0.064;16.5931
lumaco_2013.tif ; Plantacion ;72404.01;65.2325;54.0047;4336560;39.0703;249.669;49892.0919;4.905;213.9294;10384.2867;101.9132;1.8543;27.8176;1.4686;1.0863;1.3208;1.0785;445.1859;61.6449;298.0452;0.571;0.6973;0.6093;0.6378;0.9478;0.7437;1.3673;137.4169;62.1783;84.8528;0.8701;95.3766;60.4583;99.9239;95.4831;0.0844;0.7068;32545.8613;3.4104;290;0.2613;41.4654
lonqui_2013.tif ; Plantacion ;3051.54;0.7781;0.1859;303300;0.7734;26.0815;349.8661;4.41;155.1858;841.9342;97.9629;1.4877;2.8452;1.381;1.0689;1.1268;1.064;326.657;99.3924;294.1176;0.5817;0.6943;0.5922;0.7252;0.9152;0.75;1.2464;951.8258;1013.4129;276.5863;0.93;92.5456;53.3155;97.4451;93.0519;0.0695;1;2.7224;144049.2405;117;0.0298;13.6992
lonco_2013.tif ; Plantacion ;29423.79;30.2538;5.7097;3190800;32.8081;57.2447;2622.3637;5.535;205.6219;2468.1402;114.5008;1.9679;9.1022;1.5871;1.0991;1.2377;1.0925;386.5279;110.4759;280.4347;0.6113;0.7183;0.6431;0.6825;0.9065;0.7629;1.4039;197.8137;94.4376;94.8683;0.8835;91.7143;61.7222;99.187;91.8751;0.0812;0.9918;793.3638;122.5877;514;0.5285;47.3575
lautaro_2013.tif ; Plantacion ;20236.59;22.3149;2.8016;1690410;18.6402;62.4586;1026.3859;6.345;227.0945;1369.9412;119.8103;1.8135;4.7301;1.5607;1.0915;1.1768;1.087;341.2065;85.5678;271.7803;0.6145;0.6526;0.649;0.7166;0.9271;0.7654;1.3161;244.0671;135.9903;150;0.9199;93.5824;57.6893;98.7469;93.7803;0.0622;0.9975;229.037;395.9466;324;0.3573;30.411
imperial_2013.tif ; Plantacion ;16650.54;22.8065;4.811;1761660;24.1297;37.5012;1235.2938;3.96;171.1046;1649.4252;96.6836;1.7348;6.0186;1.5;1.0881;1.1988;1.0811;384.8821;108.274;317.8211;0.6107;0.7241;0.6412;0.6806;0.9076;0.7279;1.3563;212.8152;93.1822;134.1641;0.8976;91.8795;43.9629;98.7652;92.0938;0.0791;0.9961;281.7275;259.1434;444;0.6082;34.8978
gorbea_2013.tif ; Plantacion ;23772.6;34.4583;8.6481;2274690;32.9715;73.828;2445.4208;6.165;227.3102;2708.9619;118.2361;1.9762;8.3738;1.542;1.0983;1.2368;1.0877;368.1152;98.5563;291.6955;0.6244;0.752;0.6608;0.6941;0.9161;0.7509;1.4236;166.9684;72.8679;94.8683;0.89;92.6083;58.1646;99.2323;92.7888;0.0721;0.9878;842.6501;81.8721;322;0.4667;37.9854
galvar_2013.tif ; Plantacion ;25568.19;45.0849;14.0715;1803540;31.8022;85.5123;5396.2981;4.95;194.112;3918.7294;101.4916;1.7437;9.0817;1.48;1.0851;1.2352;1.0809;417.4504;72.8382;287.8788;0.5888;0.7364;0.636;0.6612;0.938;0.7481;1.3396;165.8909;70.1403;108.1665;0.9038;94.5371;41.6299;99.5246;94.715;0.0528;0.9571;2432.9136;23.31;299;0.5272;29.09
ercilla_2013.tif ; Plantacion ;21976.02;44.1727;10.045;1250880;25.1432;93.515;2710.9132;3.78;207.7404;2375.5306;96.1807;1.7211;5.2817;1.5;1.0855;1.1901;1.0844;458.7719;59.888;329.4118;0.5959;0.6718;0.6435;0.6285;0.9489;0.7222;1.2935;177.3042;75.2012;94.8683;0.923;95.5084;51.6515;99.2853;95.7022;0.043;0.9759;1197.4843;41.5456;235;0.4724;22.179
